PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 3 	MC-Sweep: 960000 	Time(s): 409148.512043
  F-Iteration: 3 	MC-Sweep: 970000 	Time(s): 411548.507416
  F-Iteration: 3 	MC-Sweep: 980000 	Time(s): 413874.517291
  F-Iteration: 3 	MC-Sweep: 990000 	Time(s): 416156.483670
  F-Iteration: 3 	MC-Sweep: 1000000 	Time(s): 418461.406851
  F-Iteration: 3 	MC-Sweep: 1010000 	Time(s): 420761.005794
  F-Iteration: 3 	MC-Sweep: 1020000 	Time(s): 423067.949191
  F-Iteration: 3 	MC-Sweep: 1030000 	Time(s): 425336.254711
  F-Iteration: 3 	MC-Sweep: 1040000 	Time(s): 427650.592544
  F-Iteration: 3 	MC-Sweep: 1050000 	Time(s): 430011.653859
  F-Iteration: 3 	MC-Sweep: 1060000 	Time(s): 432317.344133
  F-Iteration: 3 	MC-Sweep: 1070000 	Time(s): 434648.269018
  F-Iteration: 3 	MC-Sweep: 1080000 	Time(s): 437009.317197
  F-Iteration: 3 	MC-Sweep: 1090000 	Time(s): 439312.404739
  F-Iteration: 3 	MC-Sweep: 1100000 	Time(s): 441564.118840
  F-Iteration: 3 	MC-Sweep: 1110000 	Time(s): 443891.485988
  F-Iteration: 3 	MC-Sweep: 1120000 	Time(s): 446120.873688
  F-Iteration: 3 	MC-Sweep: 1130000 	Time(s): 448337.309365
  F-Iteration: 3 	MC-Sweep: 1140000 	Time(s): 450602.234532
  F-Iteration: 3 	MC-Sweep: 1150000 	Time(s): 452979.132605
  F-Iteration: 3 	MC-Sweep: 1160000 	Time(s): 455249.854234
  F-Iteration: 3 	MC-Sweep: 1170000 	Time(s): 457547.184848
  F-Iteration: 3 	MC-Sweep: 1180000 	Time(s): 459862.371074
  F-Iteration: 3 	MC-Sweep: 1190000 	Time(s): 462144.932636
  F-Iteration: 3 	MC-Sweep: 1200000 	Time(s): 464399.116752
  F-Iteration: 3 	MC-Sweep: 1210000 	Time(s): 466620.863369
  F-Iteration: 3 	MC-Sweep: 1220000 	Time(s): 468867.292907
  F-Iteration: 3 	MC-Sweep: 1230000 	Time(s): 471176.104271
  F-Iteration: 3 	MC-Sweep: 1240000 	Time(s): 473431.129245
  F-Iteration: 3 	MC-Sweep: 1250000 	Time(s): 475782.062721
  F-Iteration: 3 	MC-Sweep: 1260000 	Time(s): 478065.790541
  F-Iteration: 3 	MC-Sweep: 1270000 	Time(s): 480355.447318
  F-Iteration: 3 	MC-Sweep: 1280000 	Time(s): 482650.962525
  F-Iteration: 3 	MC-Sweep: 1290000 	Time(s): 484966.887932
