Executed on: 2023-09-18 02:40:43.125852
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 02680000 	Time(s): 581235.000226
    -- MCMC Step: 02690000 	Time(s): 582787.099046
    -- MCMC Step: 02700000 	Time(s): 584338.009241
    -- MCMC Step: 02710000 	Time(s): 585883.075561
    -- MCMC Step: 02720000 	Time(s): 587414.279885
    -- MCMC Step: 02730000 	Time(s): 588975.760021
    -- MCMC Step: 02740000 	Time(s): 590549.425473
    -- MCMC Step: 02750000 	Time(s): 592163.390313
    -- MCMC Step: 02760000 	Time(s): 593794.428708
    -- MCMC Step: 02770000 	Time(s): 595443.916003
    -- MCMC Step: 02780000 	Time(s): 597091.437066
    -- MCMC Step: 02790000 	Time(s): 598761.304877
    -- MCMC Step: 02800000 	Time(s): 600409.322547
    -- MCMC Step: 02810000 	Time(s): 602170.050556
    -- MCMC Step: 02820000 	Time(s): 603923.265572
    -- MCMC Step: 02830000 	Time(s): 605624.997585
    -- MCMC Step: 02840000 	Time(s): 607326.709424
    -- MCMC Step: 02850000 	Time(s): 609020.455362
    -- MCMC Step: 02860000 	Time(s): 610741.066953
    -- MCMC Step: 02870000 	Time(s): 612429.438302
    -- MCMC Step: 02880000 	Time(s): 614092.104832
    -- MCMC Step: 02890000 	Time(s): 615789.063773
    -- MCMC Step: 02900000 	Time(s): 617452.694920
    -- MCMC Step: 02910000 	Time(s): 619113.613194
    -- MCMC Step: 02920000 	Time(s): 620799.639064
    -- MCMC Step: 02930000 	Time(s): 622487.103527
    -- MCMC Step: 02940000 	Time(s): 624114.647948
    -- MCMC Step: 02950000 	Time(s): 625788.089972
    -- MCMC Step: 02960000 	Time(s): 627435.924991
    -- MCMC Step: 02970000 	Time(s): 629064.911463
    -- MCMC Step: 02980000 	Time(s): 630739.084463
    -- MCMC Step: 02990000 	Time(s): 632412.701453
    -- MCMC Step: 03000000 	Time(s): 634057.038764
    -- MCMC Step: 03010000 	Time(s): 635678.238100
    -- MCMC Step: 03020000 	Time(s): 637302.833145
    -- MCMC Step: 03030000 	Time(s): 638899.425456
    -- MCMC Step: 03040000 	Time(s): 640543.252617
    -- MCMC Step: 03050000 	Time(s): 642161.961630
    -- MCMC Step: 03060000 	Time(s): 643768.634878
    -- MCMC Step: 03070000 	Time(s): 645381.560113
    -- MCMC Step: 03080000 	Time(s): 647004.137133
    -- MCMC Step: 03090000 	Time(s): 648634.932183
    -- MCMC Step: 03100000 	Time(s): 650269.737299
    -- MCMC Step: 03110000 	Time(s): 651834.571875
    -- MCMC Step: 03120000 	Time(s): 653431.812082
    -- MCMC Step: 03130000 	Time(s): 655043.051903
    -- MCMC Step: 03140000 	Time(s): 656625.554197
    -- MCMC Step: 03150000 	Time(s): 658204.723558
    -- MCMC Step: 03160000 	Time(s): 659788.707364
    -- MCMC Step: 03170000 	Time(s): 661341.651623
    -- MCMC Step: 03180000 	Time(s): 662913.369798
    -- MCMC Step: 03190000 	Time(s): 664480.187307
    -- MCMC Step: 03200000 	Time(s): 666071.548378
    -- MCMC Step: 03210000 	Time(s): 667632.548075
    -- MCMC Step: 03220000 	Time(s): 669193.281004
    -- MCMC Step: 03230000 	Time(s): 670737.328963
    -- MCMC Step: 03240000 	Time(s): 672288.187673
    -- MCMC Step: 03250000 	Time(s): 673836.317988
    -- MCMC Step: 03260000 	Time(s): 675409.001938
    -- MCMC Step: 03270000 	Time(s): 677001.687696
    -- MCMC Step: 03280000 	Time(s): 678596.653740
    -- MCMC Step: 03290000 	Time(s): 680173.965309
    -- MCMC Step: 03300000 	Time(s): 681746.055107
    -- MCMC Step: 03310000 	Time(s): 683348.224978
    -- MCMC Step: 03320000 	Time(s): 684982.190455
    -- MCMC Step: 03330000 	Time(s): 686824.027051
    -- MCMC Step: 03340000 	Time(s): 688901.604449
    -- MCMC Step: 03350000 	Time(s): 691099.282278
    -- MCMC Step: 03360000 	Time(s): 693240.976782
    -- MCMC Step: 03370000 	Time(s): 695332.642655
    -- MCMC Step: 03380000 	Time(s): 698205.163655
    -- MCMC Step: 03390000 	Time(s): 701580.302933
    -- MCMC Step: 03400000 	Time(s): 704935.938890
    -- MCMC Step: 03410000 	Time(s): 708594.432546
    -- MCMC Step: 03420000 	Time(s): 712167.079656
    -- MCMC Step: 03430000 	Time(s): 715576.336581
    -- MCMC Step: 03440000 	Time(s): 718874.081311
    -- MCMC Step: 03450000 	Time(s): 722238.801934
    -- MCMC Step: 03460000 	Time(s): 725619.238038
    -- MCMC Step: 03470000 	Time(s): 728959.161054
    -- MCMC Step: 03480000 	Time(s): 732298.417566
    -- MCMC Step: 03490000 	Time(s): 735663.825628
    -- MCMC Step: 03500000 	Time(s): 739044.991671
    -- MCMC Step: 03510000 	Time(s): 742481.244772
    -- MCMC Step: 03520000 	Time(s): 745932.733948
    -- MCMC Step: 03530000 	Time(s): 749369.243690
    -- MCMC Step: 03540000 	Time(s): 752847.777193
    -- MCMC Step: 03550000 	Time(s): 756340.291631
    -- MCMC Step: 03560000 	Time(s): 759786.847558
    -- MCMC Step: 03570000 	Time(s): 763132.170567
    -- MCMC Step: 03580000 	Time(s): 766525.123978
    -- MCMC Step: 03590000 	Time(s): 770100.954331
    -- MCMC Step: 03600000 	Time(s): 774149.847595
    -- MCMC Step: 03610000 	Time(s): 778014.739675
    -- MCMC Step: 03620000 	Time(s): 782017.257157
    -- MCMC Step: 03630000 	Time(s): 786136.914832
    -- MCMC Step: 03640000 	Time(s): 790235.154500
    -- MCMC Step: 03650000 	Time(s): 794433.450446
    -- MCMC Step: 03660000 	Time(s): 798855.352281
    -- MCMC Step: 03670000 	Time(s): 803386.311810
    -- MCMC Step: 03680000 	Time(s): 808047.486295
    -- MCMC Step: 03690000 	Time(s): 812747.677258
    -- MCMC Step: 03700000 	Time(s): 817501.870013
    -- MCMC Step: 03710000 	Time(s): 822232.959444
    -- MCMC Step: 03720000 	Time(s): 826940.801308
    -- MCMC Step: 03730000 	Time(s): 831659.450335
    -- MCMC Step: 03740000 	Time(s): 836403.643314
    -- MCMC Step: 03750000 	Time(s): 841149.429683
    -- MCMC Step: 03760000 	Time(s): 845825.739021
    -- MCMC Step: 03770000 	Time(s): 850518.331952
    -- MCMC Step: 03780000 	Time(s): 855221.408292
    -- MCMC Step: 03790000 	Time(s): 859874.651263
    -- MCMC Step: 03800000 	Time(s): 864423.528213
    -- MCMC Step: 03810000 	Time(s): 868950.601697
    -- MCMC Step: 03820000 	Time(s): 873194.836628
    -- MCMC Step: 03830000 	Time(s): 877899.524587
    -- MCMC Step: 03840000 	Time(s): 882351.146303
    -- MCMC Step: 03850000 	Time(s): 886858.261562
    -- MCMC Step: 03860000 	Time(s): 891496.347443
    -- MCMC Step: 03870000 	Time(s): 896119.353219
    -- MCMC Step: 03880000 	Time(s): 900629.731598
    -- MCMC Step: 03890000 	Time(s): 905159.777774
    -- MCMC Step: 03900000 	Time(s): 909699.226736
    -- MCMC Step: 03910000 	Time(s): 914318.956476
    -- MCMC Step: 03920000 	Time(s): 918926.891631
    -- MCMC Step: 03930000 	Time(s): 923539.682151
    -- MCMC Step: 03940000 	Time(s): 928236.473337
    -- MCMC Step: 03950000 	Time(s): 932855.228919
    -- MCMC Step: 03960000 	Time(s): 937559.601963
    -- MCMC Step: 03970000 	Time(s): 942321.745826
    -- MCMC Step: 03980000 	Time(s): 946908.025138
    -- MCMC Step: 03990000 	Time(s): 951174.948185
    -- MCMC Step: 04000000 	Time(s): 955683.140523
    -- MCMC Step: 04010000 	Time(s): 960085.797788
    -- MCMC Step: 04020000 	Time(s): 964563.494853
    -- MCMC Step: 04030000 	Time(s): 969154.090620
    -- MCMC Step: 04040000 	Time(s): 973783.691077
    -- MCMC Step: 04050000 	Time(s): 978450.818742
    -- MCMC Step: 04060000 	Time(s): 983074.073096
    -- MCMC Step: 04070000 	Time(s): 987793.391140
    -- MCMC Step: 04080000 	Time(s): 992413.635525
    -- MCMC Step: 04090000 	Time(s): 996954.972210
    -- MCMC Step: 04100000 	Time(s): 1001505.166801
    -- MCMC Step: 04110000 	Time(s): 1006027.199483
    -- MCMC Step: 04120000 	Time(s): 1010577.858041
    -- MCMC Step: 04130000 	Time(s): 1015199.479336
    -- MCMC Step: 04140000 	Time(s): 1019770.793764
    -- MCMC Step: 04150000 	Time(s): 1024311.921264
